longitude,latitude,name,phone,dates_open,state,city
-90.182,41.935,Bulgers Hollow - Mississippi River,815.259.3628,,IA,Clinton
-96.319,42.637,Bur Oak - Hillview County Rec Area,,,IA,Hinton
-94.401,43.488,Burt Lake County Park,515.295.2138,early apr-late oct,IA,Swea City
-92.761,42.844,Camp Comfort,,,IA,Greene
-95.043,42.308,Camp Crescent Park,712.657.2189,,IA,Lake View
-91.014,41.162,Cappy Russell Access,,,IA,Oakville
-95.424,41.237,Carson City Park,,,IA,Carson
-94.517,41.509,Casey City Park - Abram Rutt,641.746.3315,all year,IA,Casey
-92.494,42.76,Cedar Bend Park,,,IA,Waverly
-92.855,43.283,Cedar Bridge County Park,,,IA,Osage
-92.859,41.258,Cedar Creek Access,,,IA,Oskaloosa
-91.235,41.721,Cedar Valley Co Park,,,IA,Cedar Bluffs
-92.548,42.959,Cedar View Park,641.435.4156,,IA,Nashua
-91.138,42.11,Central Park,563.487.3541,mid apr-mid oct,IA,Center Junctio
-92.206,41.303,Chacauqua River Access,,,IA,Sigourney
-95.557,42.738,Cherokee City Park,712.225.5749,,IA,Cherokee
-93.68,41.732,Cherry Glen - Saylorville Lake,515.964.8792,mid apr-mid oct,IA,Des Moines
-93.429,41.791,Chichaqua Bottoms Greenbelt,515.967.2596,,IA,Maxwell
-92.503,43.033,Chickasaw Park,,,IA,Ionia
-96.17,43.07,Childrens Park,712.722.0761,,IA,Sioux Center
-91.939,43.423,Chimney Rock County Park,,,IA,Cresco
-93.499,40.863,Cinder Path RV Park,641.877.6841,,IA,Humeston
-90.809,41.458,Clarks Ferry - Mississippi River,563.381.4043,early apr-late sep,IA,Muscatine
-93.389,43.111,Clear Lake State Park,641.357.4212,all year,IA,Clear Lake
-95.476,42.351,Cobb City Park,712.364.2958,,IA,Ida Grove
-95.136,41.255,Cocklin Fish Farm,712.769.2372,,IA,Griswold
-91.534,42.494,Coffins Grove,563.927.3410,,IA,Manchester.
-95.084,41.291,Cold Spring Park,712.769.2372,,IA,Lewis
-92.642,43.156,Colwell County Park,641.756.3490,,IA,Colwell
-94.465,42.624,Coopers Cove Co Park,,mid apr-mid oct,IA,Clare
-93.335,40.751,Corydon Lake Co Park,,,IA,Corydon
-91.53,41.723,Cottonwood - Coralville Lake,515.276.4656,mid apr-mid oct,IA,Iowa City
-95.601,42.275,Crawford Creek County Rec Area,,,IA,Battle Creek
-94.044,41.213,Criss Cove County Park,,,IA,Winterset.
-93.19,42.478,Cross Ford River Access,,,IA,Iowa Falls
-93.783,43.23,Crystal Lake Park,,,IA,Crystal Lake
-92.063,42.544,Cutshall Area,,,IA,Jesup
-93.573,43.465,Dahle Park,641.565.3390,,IA,Lake Mills
-93.043,42.249,Daisy Long County Park,641.648.4361,,IA,Union
-93.292,42.171,Dakins Lake County Park,641.487.7477,,IA,Zearing
-94.019,41.629,Dallas County Fairgrounds,515.993.4984,,IA,Adel
-93.068,42.28,David Bates Memorial Park,,,IA,Union
-96.189,42.009,Decatur Bend Access,,all year,IA,Onawa
-90.47,41.96,Deep Creek,563.677.2710,,IA,Charlotte
-96.325,42.643,Deer Ridge - Hillview County Rec Area,,,IA,Hinton
-92.303,42.462,Deerwood City Park,319.493.0655,,IA,Waterloo
-95.338,41.826,Defiance RV Park,712 748.3431,,IA,Defiance
-94.233,42.95,Devine Wildlife Area,515.295.2138,,IA,Algona
-92.542,41.593,Diamond Lake County Park,641.623.3630,,IA,Montezuma
-94.687,42.118,Dickson Timber County Park,,,IA,Glidden
-95.474,42.935,Dog Creek Co Park,712.295.7200,,IA,Sutherland
-94.083,42.387,Dolliver Memorial State Park,515.359.2539,all year,IA,Otho
-94.027,42.12,Don Williams Park,515.275.9906,,IA,Ogden
-95.705,43.163,Douma Co Park,712.295.7200,,IA,Sanborn
-92.046,42.741,Downing County Park,563.425.3613,,IA,Westgate
-93.508,42.654,Dows Pool Park,,,IA,Dows
-92.479,40.802,Drakesville City Park,641.722.3859,,IA,Bloomfield
-90.641,42.523,Dubuque Yacht Basin and RV Park,563.556.7708,,IA,Dubuque
-91.771,42.996,Duttons Cave Co Park,,,IA,West Union
-93.146,42.472,Eagle City County Park,,,IA,Iowa Falls
-93.744,41.033,East Lake Co Park,641.342.3960,,IA,Osceola
-95.138,43.134,East Leach City Park,712.264.7265,,IA,Spencer
-90.855,42.047,Eden Valley Park,563.847.7202,,IA,Baldwin
-91.551,41.68,Edgewater City Park,319.466.7605,,IA,Iowa City
-91.399,42.645,Edgewood Campground,563.928.6613,,IA,Edgewood
-94.669,42.739,Elbert Park,712.335.4841,,IA,Pocahontas
-93.56,42.941,Eldred Sherwood Park,641.923.2720,,IA,Goodell
-93.086,41.399,Elk Rock State Park,641.842.6008,all year,IA,Sweetwater
-91.398,42.852,Elkader City Park,563.245.2098,,IA,Elkader
-95.09,41.57,Elkhorn Creek Rec Area,,,IA,Elk Horn
-95.175,43.355,Emerson Bay State Rec Area,712.337.3211,all year,IA,Milford
-92.734,41.235,Eveland Access,641.673.9327,,IA,Beacon
-91.725,41.733,F. W. Kent County Park,319.645.2315,,IA,Tiffin
-90.924,41.433,Fairport State Rec Area,563.263.4337,all year,IA,Muscatine
-94.628,42.495,Featherstone County Park,712.297.7131,,IA,Rockwell City
-91.008,41.162,Ferry Landing,563.263.7913,,IA,Muscatine
-94.24,40.737,Fifes Grove Co Park,641.464.2787,,IA,Mount Ayr
-90.908,42.324,Fillmore County Rec Area,563.556.6745,,IA,Fillmore
-90.806,42.654,Finleys Landing City Park,563.552.1571,,IA,Dubuque
-91.118,41.27,Flaming Prairie Park,319.523.8381,,IA,Grandview
-91.908,42.604,Fontana County Park,319.636.2617,,IA,Independence
-93.046,42.158,Forest Reserve - Marshalltown,641.752.5490,,IA,Liscomb
-91.311,42.614,Fountain Springs County Park,563.927.3410,,IA,Greeley
-90.968,41.063,Fourth Pumping Plant Rec Area,319.753.8260,,IA,Kingston
-94.207,42.677,Frank A Gotch Park,515.332.4087,,IA,Humboldt
-91.106,42.852,Frenchtown County Park,563.245.1516,,IA,Guttenberg
-91.471,42.908,Friedens County Park,563.245.1516,,IA,Elkader
-95.917,41.268,Friendship City Park,,,IA,Council Bluffs
-94.865,43.393,Ft. Defiance State Park,712.337.3211,all year,IA,Estherville
-95.414,42.506,Galva City Park,712.371.9438,,IA,Galva
-93.222,42.886,Galvin Memorial Park,641.892.4718,,IA,Sheffield
-92.85,42.938,Gates Bridge County Park,641.756.3490,,IA,Marble Rock
-91.383,40.824,Geode State Park,319.392.4601,all year,IA,Danville
-92.946,43.054,George Wyatt City Park,641.756.3718,,IA,Rockford
-92.396,42.536,George Wyth State Park,319.232.5505,all year,IA,Cedar Falls
-91.632,42.959,Gilbertson Conservation Education Area,563.426.5740,,IA,Elgin
-92.592,41.343,Glendale Access,,,IA,Oskaloosa
-95.734,41.048,Glenwood Lake Park,712.527.3509,,IA,Glenwood
-91.837,43.041,Goeken Co Park,,,IA,West Union
-94.689,42.551,Gordon Prange City Park,712.468.2411,,IA,Pomeroy
-91.957,43.009,Gouldsburg County Park,563.425.3613,,IA,Hawkeye
-93.033,42.168,Grammer Grove Wildlife Area,,,IA,Liscomb
-94.893,42.264,Grant County Park,712.662.4530,,IA,Auburn
-91.362,40.79,Grays Landing,319.376.2341,,IA,Denmark
-95.081,41.9,Great Western Co Park,712.792.4614,,IA,Manning
-94.383,41.115,Green Valley State Park,641.782.5131,all year,IA,Creston
-92.802,42.893,Greene Rec Area - Camp Comfort,319.278.4237,,IA,Greene
-95.165,43.371,Gull Point State Park,712.337.3211,all year,IA,Milford
-94.967,40.984,Hacklebarney Woods County Park,,,IA,Villisca
-94.998,42.385,Hagge County Park,712.662.4530,,IA,Sac City
-92.923,43.354,Halvorson Park,641.736.2221,,IA,St. Ansgar
-92.112,41.863,Hannen County Park,319.454.6382,,IA,Blairstown
-92.411,43.119,Haus Park,,,IA,North Washingt
-96.488,43.003,Hawarden City Park,,,IA,Hawarden
-94.37,41.988,Henderson Co Park,,all year,IA,Jefferson
-93.353,41.99,Hickory Grove County Park,515.232.2516,,IA,Nevada
-92.311,42.27,Hickory Hills Park -  La Porte City,319.342.3350,,IA,La Porte City
-93.609,41.18,Hickory Hills Park - New Virginia,515.961.6169,,IA,New Virgiinia
-91.521,41.555,Hills Access,319.645.2315,,IA,Hills
-95.853,43.191,Hills Park - Sheldon,712.324.2769,,IA,Sheldon
-96.319,42.637,Hillview County Rec Area,,,IA,Hinton
-95.857,41.413,Hitchcock County Nature Center,712.328.5833,,IA,Honey Creek
-91.976,42.164,Hoefle - Dulin Area County Park,,,IA,Vinton
-91.311,42.614,Holbert Park,,,IA,Greeley
-92.928,40.861,Honey Creek State Park,641.724.3739,all year,IA,Moravia
-93.997,40.943,Hopeville Square Co Park,641.342.3960,,IA,Hopeville
-90.664,42.055,Horseshoe Pond,563.652.2484,,IA,Maquoketa
-92.559,42.985,Howards Woods,,,IA,Nashua
-92.973,41.365,Howell Station - Red Rock Lake,641.828.7522,mid apr-late oct,IA,Pella
-91.38,40.391,Hubinger Landing Park,319.524.7122,,IA,Keokuk
-96.134,41.925,Huff - Warner Access Area,,,IA,Blencoe
-94.575,42.113,Hyde Park,,,IA,Scranton
-95.467,42.348,Ida Grove City Park,712.364.2428,,IA,Ida Grove
-91.891,42.461,Independence City RV Park,319.334.6711,,IA,Independence
-91.752,40.633,Indian Lake Park,319.878.3706,,IA,Farmington
-91.236,40.724,Indian Path Park,319.463.7673,,IA,Wever
-93.377,42.943,Ingebretson County Park,641.423.5309,,IA,Thornton
-92.881,43.319,Interstate Co Park,641.732.5204,,IA,Mitchell
-94.459,43.491,Iowa Lake Co Campground,712.867.4422,,IA,Armstrong
-95.455,43.5,Iowa Lake Co Park,319.655.8466,,IA,Harris
-93.617,42.846,Iowa River RV Park,641.444.3386,,IA,Belmond
-93.551,41.599,Iowa State Fairgrounds,515.262.3111,,IA,Des Moines
-96.171,43.436,Island Park - Rock Rapids,,,IA,Rock Rapids
-94.014,41.621,Island Park Co Park,515.993.4525,,IA,Adel
-92.906,40.827,Island View - Rathbun Lake,641.647.2079,early may-late sep,IA,Centerville
-92.981,41.368,Ivans - Red Rock Lake,,,IA,Pella
-91.741,42.599,Jakway County Park,,,IA,Aurora
-91.988,40.993,Jefferson County Park,641.472.4421,,IA,Fairfield
-93.775,41.78,Jester County Park,515.323.5366,,IA,Granger
-94.261,42.731,Joe Sheldon County Park,515.332.4087,,IA,Humboldt
-90.751,42.079,Joinerville County Park,563.652.3783.,,IA,Maquoketa
-91.597,42.677,Joy Springs County Park,,,IA,Strawberry Poi
-94.68,43.122,Kearny Park,712.852.4030,,IA,Emmetsburg
-94.192,42.583,Kennedy County Park,515.576.4258,,IA,Fort Dodge
-91.816,42.844,Klocks Island Park,563.425.4316,,IA,Fayette
-94.339,40.792,Kokesh Co Park,,,IA,Diagonal
-95.554,42.704,Koser Spring Lake Park,712.225.2715,,IA,Cherokee
-91.981,40.709,Lacey - Keosauqua State Park,319.293.3502,all year,IA,Keosauqua
-93.583,41.296,Lake Ahquabi State Park,515.961.7101,all year,IA,Indianola
-94.762,41.433,Lake Anita State Park,712.762.3564,all year,IA,Anita
-94.711,41.003,Lake Binder Co Park,641.322.4230,,IA,Corning
-92.917,42.716,Lake Considine,,,IA,Bristow
-93.692,42.793,Lake Cornelia Park,515.532.3185,,IA,Clarion
-91.896,41.192,Lake Darling State Park,319.694.2323,all year,IA,Brighton
-92.446,40.759,Lake Fisher,641.664.2260,,IA,Bloomfield
-92.55,43.373,Lake Hendricks Co Park,641.985.2127,,IA,Riceville
-94.735,41.056,Lake Icaria Co Park,641.322.4793,,IA,Corning
-92.182,41.636,Lake Iowa County Park,319.655.8465,,IA,Ladora
-92.541,41.29,Lake Keomah State Park,641.673.6975,all year,IA,Oskaloosa
-91.577,41.798,Lake Macbride State Park,319.624.2200,all year,IA,Solon
-95.854,41.197,Lake Manawa State Park,712.366.0220,all year,IA,Council Bluffs
-91.911,43.173,Lake Meyer County Park,563.534.7145,,IA,Calmar
-94.684,40.713,Lake of Three Fires State Park,712.523.2700,all year,IA,Bedford
-94.437,41.2,Lake Orient Rec Area,,,IA,Orient
-96.465,43.386,Lake Pahoja Rec Area,,,IA,Inwood
-91.994,40.683,Lake Sugema County Park,319.293.3532,,IA,
-92.589,40.816,Lake Wapello State Park,641.722.3371,all year,IA,Drakesville
-93.504,40.877,Lakeside Co Park,,,IA,Humeston
-95.388,42.73,Larson Lake Co Park,,,IA,Aurelia
-93.887,41.983,Ledges State Park,515.432.1852,all year,IA,Boone
-95.23,41.023,Legion City Park,,,IA,Red Oak
-92.886,40.715,Lelah Bradley Park,641.856.8528,early may-late oct,IA,Centerville
-94.57,41.687,Lenon Mill Co Park,,,IA,Panora
-96.162,42.027,Lewis and Clark State Park,712.423.2829,all year,IA,Onawa
-92.279,43.466,Lidtke Park,,,IA,Lime Springs
-93.194,43.184,Lime Creek Conservation Area - Mason City,641.423.5309,,IA,Mason City
-91.981,42.327,Lime Creek Park - Brandon,319.636.2617,,IA,Brandon
-91.543,41.725,Linder Point - Coralville Lake,319.338.3543,,IA,Iowa City
-93.196,42.979,Linn Grove County Park,641.423.5309,,IA,Rockwell
-95.246,42.895,Linn Grove Dam Co Park,712.295.7985,,IA,Linn Grove
-93.778,40.768,Little River Rec Area,641.446.7307,,IA,Leon
-95.801,42.45,Little Sioux Park,712.372.4984,,IA,Correctionvill
-93.639,42.277,Little Wall Lake County Park,515.832.9570,,IA,Jewell
-94.785,41.556,Littlefield Rec Area,,,IA,Exira
-94.891,43.176,Lost Island Huston Park,712.837.4866,,IA,Ruthven
-94.202,42.867,Lotts Creek Co Park,515.332.4087,,IA,Dakota City
-91.356,41.278,Louisa County Fairgrounds,,,IA,Columbus Junct
-91.258,40.755,Lower Augusta Skunk River Access,,,IA,Augusta
-95.386,41.318,Lyons Park,,,IA,Oakland
-91.736,41.051,Mac Coon Access,641.472.4421,,IA,Lockridge
-93.232,42.663,Mallory Co Park,641.456.4375,,IA,Hampton
-92.108,41.239,Manhattan Bridge Access,,,IA,Ollie
-95.462,41.855,Manteno Co Park,,,IA,Defiance
-95.787,42.168,Mapleton City,712.881.1351,,IA,Mapleton
-90.775,42.119,Maquoketa Caves State Park,563.652.5833,all year,IA,Maquoketa
-95.125,43.469,Marble Beach State Rec Area,712.337.3211,all year,IA,Spirit Lake
-93.183,43.158,Margaret Macnider City Park,641.421.3673,,IA,Mason City
-93.119,41.316,Marion County Park,641.828.2213,,IA,Knoxville
-92.963,41.782,Mariposa Co Park,641.792.9780,,IA,Newton
-94.349,40.818,Marlin Fogle Rec Area,641.734.5491,,IA,Diagonal
-91.579,41.287,Marr Park,,,IA,Ainsworth
-95.472,42.851,Martin Area County Park,,,IA,Larrabee
-90.587,42.43,Massey Marina,563.556.6745,,IA,Dubuque
-91.382,42.132,Matsell Bridge Natural Area,319.892.6450,,IA,Central City
-91.878,42.778,Maynard City Park,563.637.2269,,IA,Maynard
-92.142,42.318,McFarlane Park,319.342.3844,,IA,La Porte City
-92.393,40.75,McGowen Rec Area,641.664.2527,,IA,Bloomfield
-93.452,43.127,McIntosh Woods State Park,641.829.3847,all year,IA,Ventura
-94.382,41.052,McKinley Park,641.782.2000,,IA,Creston
-94.414,41.525,Menlo City Park,641.524.2411,,IA,Menlo
-94.621,42.907,Meredith Co Park,,,IA,Plover
-92.837,41.12,Miami Lake Park,641.946.8112,,IA,Lovilia
-91.9,41.798,Middle Amana Park,,,IA,Middle Amana
-94.281,41.352,Middle River Forest Area,,,IA,Dexter
-91.547,40.952,Midwest Old Threshers,319.385.8937,,IA,Mount Pleasant
-94.762,42.272,Mike Macke Memorial Park,,,IA,Lake City
-95.668,42.984,Mill Creek Co Park,,early may-late sep,IA,Paulina
-90.642,42.516,Miller Riverview City Park,563.589.4238,,IA,Dubuque
-92.018,42.195,Milroy Access,,,IA,Vinton
-92.019,42.259,Minne Estema Park,563.472.3318,,IA,Vinton
-95.129,43.365,Minnewashta Lake,712.332.2341,,IA,
-95.906,41.557,Missouri Valley City Park,712.642.3502,,IA,Missouri Valle
-93.513,40.602,Moore - Gosch Memorial Park,,early apr-late oct,IA,Lineville
-95.479,42.357,Moorehead Pioneer County Park,712.364.3300,,IA,Ida Grove
-91.76,41.989,Morgan Creek County Park,319.396.2363,,IA,Palo
-94.637,41.24,Mormon Trail County Park,641.743.6450,,IA,Bridgewater
-91.8,40.888,Morris County Park,319.796.2148,,IA,Stockport
-91.351,42.807,Motor Mill Historic Site,563.245.1516,,IA,Motor
-90.706,42.616,Mud Lake County Park,563.552.2746,,IA,Dubuque
-94.331,41.577,Nations Bridge Co Park,515.523.1789,,IA,Stuart
-95.587,41.936,Nelson Park,712.263.2748,,IA,Dow City
-92.303,43.058,New Hampton City,641.394.2758,,IA,New Hampton
-91.124,42.536,New Wine County Park,563.921.3475,,IA,Dyersville
-93.754,40.588,Nine Eagles State Park,641.442.2855,all year,IA,Davis City
-95.323,41.568,Nishna Bend Rec Area,,,IA,Harlan
-94.985,40.761,Nodaway Valley County Park,712.542.3864,,IA,Clarinda
-92.524,42.848,North Cedar Park,319.882.4742,,IA,Plainfield
-92.971,41.378,North Overlook - Red Rock Lake,641.828.7522,mid apr-mid sep,IA,Pella
-92.088,42.866,North Woods Park,319.882.4742,,IA,Sumner
-96.472,43.059,Oak Grove Co Park,712.552.1047,,IA,Hawarden
-96.459,43.062,Oak Grove County Park,712.552.1047,,IA,Hawarden
-94.069,42.256,Oak Park - Dayton,515.547.2711,,IA,Dayton
-91.619,40.935,Oakland Mills Park,319.986.5067,,IA,Oakland Mills
-93.264,43.481,Ochee Yahola,641.324.1524,,IA,Northwood
-95.535,43.386,Ocheyedan Pits Rec Area,,,IA,Ocheyedan
-95.249,42.308,Odebolt Memorial Walk RV Park,712.668.2231,,IA,Odebolt
-91.92,42.648,Oelwein City Park,319.283.5440,,IA,Oelwein
-95.448,41.197,Olde Towne Co Park,712.741.5465,,IA,Macedonia
-95.789,42.008,Oldham Rec Area,,,IA,Soldier
-95.122,43.125,Oneota Little Sioux Access,,,IA,Spencer
-92.854,43.276,Osage Spring City Park,319.283.5440,,IA,Osage
-91.444,42.793,Osborne Conservation Center,563.245.1516,,IA,Dyersville
-92.98,43.459,Otranto Co Park,641.732.5204,,IA,Otranto
-93.532,41.246,Otter Creek Co Park,515.961.6169,,IA,Indianola
-92.52,42.052,Otter Creek Lake and Park,641.484.2231,,IA,Toldedo
-92.43,41.01,Ottumwa City Park,641.682.7873,,IA,Ottumwa
-91.508,41.909,Palisades Kepler State Park,319.895.6039,all year,IA,Mt.Vernon
-94.076,41.292,Pammel County Park,515.462.3536,,IA,Winterset
-90.687,41.52,Park Terrace - West Lake County Park,,,IA,Davenport
-94.11,41.835,Pattee Park,515.465.4958,,IA,Perry
-95.943,42.2,Peters Park - Rodney Pits Rec Area,,all year,IA,Rodney
-91.106,42.209,Pictured Rocks Co Park,,,IA,Monticello
-95.355,40.843,Pierce Creek Rec Area,712.542.3864,,IA,Essex
-91.165,42.993,Pikes Peak State Park,563.873.2341,all year,IA,McGregor
-93.647,42.783,Pikes Timber,,,IA,Clarion
-95.043,41.146,Pilot Grove Co Park,,,IA,Grant
-93.561,43.254,Pilot Knob State Park,641.581.4835,all year,IA,Forest City
-91.435,42.454,Pin Oak Co Park,,,IA,Manchester
-90.529,41.715,Pine Grove - Scott County Park,,,IA,Long Grove
-93.078,42.371,Pine Lake State Park,641.858.5832,all year,IA,Eldora
-93.07,42.413,Pine Ridge - Steamboat Rock,641.648.4361,,IA,Steamboat Rock
-95.222,40.744,Pioneer City Park,712.542.3864,,IA,Shenandoah
-92.68,43.341,Pioneer Co Park,,,IA,Osage
-95.93,41.833,Pisgah City Park,,,IA,Pisgah
-90.38,42.21,Pleasant Creek,,,IA,Dubuque
-91.814,42.119,Pleasant Creek State Rec Area,319.436.7716,all year,IA,Palo
-94.198,40.711,Poe Hollow County Park,641.464.2787,,IA,Mount Ayr
-91.436,40.714,Pollmiller Park,319.376.2341,,IA,West Point
-95.788,41.071,Pony Creek Co Park,,,IA,Pacific Juncti
-93.434,42.585,Popejoy Conservation Park,,,IA,Popejoy
-95.338,41.471,Pottawattamie County Fairgrounds,712.981.7072,,IA,Avoca
-93.057,42.56,Prairie Bridges Park,641.485.1623,,IA,Ackley
-93.688,41.749,Prairie Flower - Saylorville Lake,515.984.6925,early may-mid oct,IA,Des Moines
-92.888,40.858,Prairie Ridge - Rathbun Lake,641.724.3103,early may-late sep,IA,Moravia
-95.212,41.6,Prairie Rose State Park,712.773.2701,all year,IA,Harlan
-95.623,43.084,Primghar City Park,,,IA,Primghar
-91.809,43.299,Pulpit Rock City Campground,563.382.9551,,IA,Decorah
-92.668,41.198,Quercus Wilderness Area,,,IA,Oskaloosa
-94.756,42.228,Rainbow Bend Co Park,,,IA,Lake City
-95.731,42.575,Ranney Knob Area,712.225.6709,,IA,Washta
-93.28,40.998,Red Haw State Park,641.774.5632,all year,IA,Chariton
-93.19,42.254,Reece Park,,,IA,Union
-95.149,42.438,Reiff Park,,,IA,Early
-94.628,42.087,Richey Campground,,,IA,Glidden
-91.502,41.491,River Junction Access,,,IA,Lone Tree
-96.311,43.213,Rivers Bend,,,IA,Rock Valley
-92.777,43.436,Riverside Co Park,641.732.5204,,IA,Stacyville
-94.669,41.877,Riverside Park - Coon Rapids,712.792.4614.,,IA,Coon Rapids
-93.813,42.468,Riverside Park - Webster City,515.832.9193,,IA,Webster City
-90.185,41.852,Riverview City Park - Clinton,563.243.1260,,IA,Clinton
-92.902,42.064,Riverview Park - Marshalltown,641.754.5715,,IA,Marshalltown
-92.664,42.47,Roadman Roadside Park,319.345.2688,,IA,Dike
-93.042,41.426,Roberts Creek Park,641.627.5507,,IA,Pella
-92.645,41.507,Robertson Access,,,IA,New Sharon
-95.736,43.399,Robinson Park,,,IA,Sibley
-90.328,41.75,Rock Creek County Marina and Campground,563.259.1876,,IA,Camanche
-92.837,41.761,Rock Creek State Park,641.236.3722,all year,IA,Kellogg
-94.634,42.4,Rockwell City RV Park,,,IA,Rockwell City
-92.083,42.196,Rodgers County Park,319.472.4942,,IA,Vinton
-92.981,40.849,Rolling Cove - Rathbun Lake,641.647.2464,early may-late sep,IA,Centerville
-95.327,41.732,Rosman Glendale Farm Rec Area,,,IA,Harlan
-94.964,40.609,Ross County Park,712.542.3864,,IA,Braddyville
-91.81,40.914,Round Prairie Park,641.472.4421,,IA,Fairfield
-92.894,43.127,Rudd Eastside Park,,,IA,Rudd
-94.985,42.419,Sac City Park,712.662.4295,,IA,Sac Cityt
-94.497,40.629,Sands Timber Rec Area,712.523.2852,,IA,Blockton
-91.597,41.814,Sandy Beach - Coralville Lake,319.338.3543,early may-late sep,IA,Iowa City
-96.118,43.064,Sandy Hollow Park,712.722.2491,,IA,Sioux Center
-92.161,43.195,Saude Rec Area,,,IA,Fredericksburg
-91.17,41.499,Saulsbury Bridge,563.264.5922,,IA,Muscatine
-95.672,41.805,Schaben County Park,712.647.2785,,IA,Dunlap
-95.289,43.151,Scharnberg Co Park,712.262.2187,,IA,Everly
-95.411,41.775,Schimerowski Rec Area,712.744.3403,,IA,Earling
-90.527,41.714,Scott County Park,563.328.3282,,IA,Eldridge
-91.633,42.599,Scout Park - Lamont,563.924.2194,,IA,Lamont
-93.12,40.67,Seymour Lake Co Park,,,IA,Seymour
-90.878,41.446,Shady Creek  - Mississippi River,563.262.8090,early may-mid oct,IA,Muscatine
-92.591,42.723,Shell Rock Rec Area,,,IA,Shell Rock
-93.044,43.174,Shellrock River Co Preserve,641.423.5309,,IA,Nora Springs
-90.784,41.78,Sherman Co Park,,,IA,Calamus
-91.677,40.615,Shimek State Forest,319.878.3811,all year,IA,Farmington
-94.397,43.053,Siems County Park,515.295.2138,,IA,Whittemore
-92.143,42.638,Siggelkov County Park,,,IA,Dunkerton
-95.326,43.448,Silver Lake City Park - East,712.832.3588,,IA,Lake Park
-95.35,43.441,Silver Lake City Park - South,712.832.3588,,IA,Lake Park
-93.42,43.485,Silver Lake Co Park,,,IA,Northwood
-91.322,42.426,Silver Lake County Park,,,IA,Delhi
